순위_1개월박스	분류	로케이션	제품명	바코드	1개월_출고박스
798	옷걸이	320-A1-1-352	보노하우스 국내제조 몽드 아동옷걸이 블루 10개	R254631190002	0
799	옷걸이	320-A1-1-353	보노하우스 국내제조 몽드 아동옷걸이 핑크 10개	R254631200003	0
800	와이드 서랍장	320-A1-1-797	보노하우스 시에나 우드상판 서랍장 크림 와이드 4단 1개 550X420X827mm	R227054860010	0
801	옷걸이	320-A1-1-688	보노하우스 국내제조 회전형 논슬립 옷걸이 마린 100개	R256671690009	0
802	북 트롤리	320-A1-2-126	보노하우스 마벨 슬림 북트롤리 버터 4단 1개	R204398120012	0
803	오픈 스텝	320-A1-1-406	보노하우스 후르츠 파스텔 바스켓  2단 바퀴형 1개	R014389540004	0
804	에센셜	320-A1-1-788	보노하우스 에버 라탄 우드상판 서랍장 브라운 6단 1개	R214219220015	0
805	에센셜	320-A1-1-793	보노하우스 에버 라탄 우드상판 서랍장 버터 7단 1개	R214219230016	0
806	와이드 서랍장	320-A1-1-718	보노하우스 에버 라탄 우드상판 와이드 서랍장크림 6단 1개	R214219400009	0
807	옷걸이	320-A1-1-684	보노하우스 국내제조 마이티 논슬립 옷걸이 그린 50개	R256671710002	0
808	에센셜	320-A1-1-789	보노하우스 에버 라탄 우드상판 서랍장 버터 6단 1개	R214219090002	0
809	에센셜	320-A1-1-831	보노하우스 위클리 서랍장 그레이 3단 1개	R208070400005	0
810	북 트롤리	320-A1-2-128	보노하우스 마벨 슬림 북트롤리 버터 5단 1개	R204398100010	0
811	리빙카트	320-A1-2-186	모던 리빙카트 트롤리 4단 아이보리	R006266960002	0
812	모던 플러스	320-A1-1-597	보노하우스 화이트 이노스 우드상판 서랍장  내추럴 우드상판 3단 1개 562X420X602mm	R234019360002	0
813	모던 플러스	320-A1-1-598	보노하우스 화이트 이노스 우드상판 서랍장  내추럴 우드상판 4단 1개 562X420X792mm	R234019380004	0
814	레브 시리즈	320-A1-1-570	보노하우스 클래식 수납정리함 13리터 크림 2개 1팩	R015858070006	0
815	모던 플러스	320-A1-1-599	보노하우스 화이트 이노스 우드상판 서랍장  내추럴 우드상판 5단 1개 562X420X982mm	R234019400006	0
816	북 트롤리	320-A1-2-130	보노하우스 마벨 슬림 북트롤리 버터 6단 1개	R204398030003	0
817	에센셜	320-A1-1-848	보노하우스 라노보 우드상판 서랍장 네이비 4단 1개	R208443750005	0
818	칵투스	320-A1-1-992	보노하우스 칵투스 세숫대야 소형 그레이	R248463580003	0
819	슬라이딩 폴딩	320-A1-2-197	보노하우스 슬라이딩 폴딩 바스켓 화이트 중형 4개	R015484390002	0
820	슬라이딩 폴딩	320-A1-2-198	보노하우스 슬라이딩 폴딩 바스켓 화이트 대형 2개	R015484390003	0
821	에센셜	320-A1-1-853	보노하우스 위클리 서랍장 버터 5단 1개	R208070420007	0
822	에센셜	320-A1-1-900	보노하우스 세라비 우드상판 서랍장 화이트 2단 1개	R212660750004	0
823	와이드 서랍장	320-A1-1-737	보노하우스 세라비 우드상판 와이드 서랍장 크림 3단 1개	R212660630007	0
824	초대형	320-A1-1-656	Box_모던초대형해피박스_아이보리_4개	R000538800015	0
825	에센셜	320-A1-1-914	보노하우스 세라비 우드상판 서랍장 라이트그레이 6단 1개	R212660840013	0
826	에센셜	320-A1-1-827	보노하우스 라노보 우드상판 서랍장네이비 2단 1개	R208070320005	0
827	와이드 서랍장	320-A1-1-713	보노하우스 에버 라탄 우드상판 와이드 서랍장브라운 5단 1개	R214219490018	0
828	와이드 서랍장	320-A1-1-714	보노하우스 에버 라탄 우드상판 와이드 서랍장크림 5단 1개	R214219510020	0
829	핸들러 바스켓	320-A1-1-380	보노하우스 다용도 트레이  반투명 소형 8개	R012949320003	0
830	에센셜	320-A1-1-780	보노하우스 에버 라탄 우드상판 서랍장 브라운 4단 1개	R214219130006	0
831	리빙카트	320-A1-2-192	보노하우스 엠버 이동식 수납 트롤리 네이비 2단	R210089940001	0
